feature_set,model,n_features,auc,accuracy_050,baseline_mean_probability,default_c2_p1_mean_probability,delta_default_vs_baseline
all_no_pcap_size,logistic,29,1.0,1.0,0.0058637551754066,0.9939547926709552,0.9880910374955484
all_no_pcap_size,random_forest,29,1.0,1.0,0.0024655131225652,0.9966253346393948,0.9941598215168296
no_duration,logistic,28,1.0,1.0,0.0063606366074011,0.9934251920906972,0.987064555483296
no_duration,random_forest,28,1.0,1.0,0.004208678622925,0.9954677400481848,0.99125906142526
no_packet_counts,logistic,25,1.0,1.0,0.0075346169176209,0.9922335629073517,0.9846989459897306
no_packet_counts,random_forest,25,1.0,1.0,0.0036593318523304,0.9951428489454038,0.9914835170930736
no_duration_no_counts,logistic,24,1.0,1.0,0.008423646630716,0.9913039586425252,0.982880312011809
no_duration_no_counts,random_forest,24,1.0,1.0,0.0104018721398571,0.9871051555354692,0.976703283395612
payload_only,logistic,3,1.0,1.0,0.0340517536209332,0.9664620485983798,0.9324102949774464
signed_lengths_only,logistic,20,1.0,1.0,0.0113139957441875,0.9884239073938949,0.9771099116497072
signed_lengths_only,random_forest,20,1.0,1.0,0.0058345887416063,0.9924175668386128,0.9865829780970063
signed_lengths_no_6,logistic,19,1.0,1.0,0.0135652431223248,0.986098797369338,0.9725335542470132
signed_lengths_no_6,random_forest,19,1.0,1.0,0.0053837348612224,0.9933867701782676,0.988003035317045
payload_only,random_forest,3,1.0,0.99,0.0359335925872596,0.963737872028655,0.9278042794413954
burst_only,logistic,1,0.9934,0.97,0.1087511188969931,0.8900547320251004,0.7813036131281073
burst_only,random_forest,1,0.9934,0.97,0.0546387391433357,0.9519649006573028,0.8973261615139669
