config_id,n,mean_probability,std_probability,detection_rate_050,mean_success,model_name,delta_vs_baseline,public_fpr_050
baseline_default_off,50,0.9953400411378868,0.0031373361059128,1.0,1.0,logistic,0.0,0.0038653567402158
camouflaged_c2_p1,50,0.9964843984130992,0.001923153634112,1.0,1.0,logistic,0.0011443572752124,0.0038653567402158
default_c2_p1,50,0.9958219069795116,0.0019015518248671,1.0,1.0,logistic,0.000481865841625,0.0038653567402158
baseline_default_off,50,0.9621996666505404,0.0294552980956228,1.0,1.0,random_forest,0.0,0.0
camouflaged_c2_p1,50,0.6062666080476413,0.1017517617056213,1.0,1.0,random_forest,-0.3559330586028991,0.0
default_c2_p1,50,0.5803441025273977,0.0946710669656503,0.98,1.0,random_forest,-0.3818555641231428,0.0
baseline_default_off,50,0.9947494283251388,0.0022023077083083,1.0,1.0,extra_trees,0.0,0.0
camouflaged_c2_p1,50,0.8405022174666095,0.0211793836897848,1.0,1.0,extra_trees,-0.1542472108585293,0.0
default_c2_p1,50,0.83858897534369,0.0165498066420366,1.0,1.0,extra_trees,-0.1561604529814487,0.0
baseline_default_off,50,0.9999651526750792,0.0,1.0,1.0,gradient_boosting,0.0,0.0
camouflaged_c2_p1,50,0.9996785941019458,0.0,1.0,1.0,gradient_boosting,-0.0002865585731335,0.0
default_c2_p1,50,0.9996785941019458,0.0,1.0,1.0,gradient_boosting,-0.0002865585731335,0.0
baseline_default_off,50,0.9566882480240824,0.0133153093278198,1.0,1.0,linear_svc_calibrated,0.0,0.0024158479626348
camouflaged_c2_p1,50,0.9567328153541594,0.0251881355268773,1.0,1.0,linear_svc_calibrated,4.4567330077183165e-05,0.0024158479626348
default_c2_p1,50,0.9470094546317588,0.0252757339739328,1.0,1.0,linear_svc_calibrated,-0.0096787933923235,0.0024158479626348
