source_dataset,public_ground_truth,session_id,client_endpoint,server_endpoint,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000001,150.244.74.240.41740,52.216.92.77.443,77218044,1830,677,1153,0,0,4049706,4049706,5.245375,366,-1432,-7160,0,0,-4296,0,-1432,0,-2864,0,0,0,0,-4296,0,-1432,-4296,-1432,-1432,-2864
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000002,120.53.62.218.13534,150.244.216.122.443,77218044,406,406,0,0,0,0,0,12.589102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000003,104.171.180.51.53850,131.138.70.23.25,77218044,71,0,71,0,0,6720,6720,11.875667,1,0,-31,0,-121,-30,-1448,-2042,-242,-136,-43,-43,-66,0,-72,-43,-43,-43,-66,0,-72
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000004,203.78.248.248.56338,104.202.234.230.443,77218044,34,16,18,0,2792,986,3778,10.243342,19,0,-190,0,35,0,-70,35,0,-47,0,1964,0,-186,0,-68,0,182,141,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000005,150.244.74.240.41754,52.216.92.77.443,77218044,2119,842,1277,0,0,5197505,5197505,5.244926,377,0,0,0,0,0,0,-2864,-2864,-1432,-1432,-2864,0,-8592,-1432,-17184,-5728,-7160,0,-4296,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000006,120.53.62.61.33100,150.244.216.122.443,77218044,369,369,0,0,0,0,0,12.595565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000007,37.5.34.199.38753,202.253.236.169.53,77218044,6,6,0,0,60,0,60,0.00443,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000008,157.150.63.72.60388,52.219.208.165.443,77218044,4629,4629,0,0,4164,0,4164,12.586534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000009,120.53.61.138.23820,150.244.216.122.443,77218044,437,437,0,0,0,0,0,12.45815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000010,150.178.126.136.49248,203.78.248.70.1194,77218044,6219,4440,1779,0,8357457,234537,8591994,10.646339,909,-204,2842,0,1460,1382,1460,4224,1460,1382,1460,1382,1799,1460,1382,0,2842,0,0,0,4302
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000011,120.53.62.39.19474,150.244.216.122.443,77218044,561,561,0,0,0,0,0,12.563909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000012,120.53.48.245.12467,150.244.216.122.443,77218044,363,363,0,0,0,0,0,12.577252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000013,111.255.41.29.6881,150.244.130.124.59915,77218044,98,98,0,0,139069,0,139069,12.398124,1,1440,0,5760,557,0,2880,2880,1440,1440,1440,1440,1440,1440,1997,0,17,0,0,0,2880
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000014,121.211.15.104.51828,150.244.216.122.443,77218044,2330,2330,0,0,3767,0,3767,11.077806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000015,120.53.61.82.11704,150.244.216.122.443,77218044,413,413,0,0,0,0,0,12.584996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000016,203.78.221.226.46004,35.196.118.212.443,77218044,252,126,126,0,35532,0,35532,12.52768,252,282,0,282,0,282,0,282,0,282,0,282,0,282,0,282,0,282,0,282,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000017,120.53.61.113.29770,150.244.216.122.443,77218044,394,394,0,0,0,0,0,12.575785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000018,157.150.63.72.63717,52.219.111.165.443,77218044,3404,3404,0,0,2082,0,2082,12.573388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000019,217.101.10.132.51098,150.244.216.122.443,77218044,2180,1078,1102,0,0,3487068,3487068,12.543706,345,-5440,-5440,-4080,-2720,-6800,-19040,-5440,-9520,-9520,-8160,-8160,-5440,-4080,-2720,-1360,-10880,-14960,-13600,-8160,-1360
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000020,15.76.108.190.49230,150.244.216.122.443,77218044,649,330,319,0,0,733640,733640,12.59356,535,-1240,-1240,0,-2480,0,-2120,0,-2480,0,-1480,0,-2480,0,-1680,0,-2480,0,-2480,0,-2480
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000021,202.228.165.126.25565,212.231.112.69.443,77218044,10,0,10,0,0,0,0,12.364145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000022,157.150.222.66.44638,54.82.69.176.443,77218044,9,9,0,0,1372,0,1372,11.998508,1,189,189,189,49,0,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0
