session_id,config_id,browser_profile,mux_mode,parallel,padding_mode,resolver_mode,success,pcap_file,browser_log,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
RQ4_SWEEP_baseline_default_off_01,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_01.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_01_browser.json,21449,69,35,34,0,10458,4831,15289,1.144011,46,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_02,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_02.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_02_browser.json,21721,71,36,35,0,10554,4831,15385,1.142598,44,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_03,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_03.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_03_browser.json,21545,69,36,33,0,10554,4831,15385,1.143247,44,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2030
RQ4_SWEEP_baseline_default_off_04,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_04.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_04_browser.json,21633,70,36,34,0,10554,4831,15385,1.140277,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_05,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_05.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_05_browser.json,21329,68,35,33,0,10426,4831,15257,1.141623,40,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0
RQ4_SWEEP_baseline_default_off_06,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_06.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_06_browser.json,21625,71,36,35,0,10458,4831,15289,1.144391,46,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_07,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_07.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_07_browser.json,21545,69,35,34,0,10554,4831,15385,1.144746,48,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_08,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_08.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_08_browser.json,21665,70,35,35,0,10586,4831,15417,1.145442,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_09,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_09.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_09_browser.json,21633,70,36,34,0,10554,4831,15385,1.146977,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_baseline_default_off_10,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_baseline_default_off_10.pcap,/opt/praxis/logs/RQ4_SWEEP_baseline_default_off_10_browser.json,21513,69,35,34,0,10522,4831,15353,1.143619,40,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_01,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_01.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_01_browser.json,21604,69,35,34,0,10613,4831,15444,1.139929,40,0,0,0,1823,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_02,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_02.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_02_browser.json,21756,70,36,34,0,10677,4831,15508,1.14296,46,0,0,0,1759,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_03,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_03.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_03_browser.json,21876,71,36,35,0,10709,4831,15540,1.139828,46,0,0,0,1791,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_04,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_04.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_04_browser.json,21756,70,36,34,0,10677,4831,15508,1.14157,42,0,0,0,1823,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_05,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_05.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_05_browser.json,21516,68,35,33,0,10613,4831,15444,1.144203,40,0,0,0,1759,0,-1369,0,80,679,0,-255,0,-255,0,-574,0,0,0,0,0
RQ4_SWEEP_camouflaged_off_06,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_06.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_06_browser.json,21492,67,34,33,0,10677,4831,15508,1.141764,42,0,0,0,1791,0,-1369,0,80,679,0,-255,0,-255,0,-574,0,0,0,0,0
RQ4_SWEEP_camouflaged_off_07,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_07.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_07_browser.json,21516,68,35,33,0,10613,4831,15444,1.139821,42,0,0,0,1759,0,-1369,0,80,679,0,-255,0,-255,0,-208,-366,0,0,0,0
RQ4_SWEEP_camouflaged_off_08,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_08.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_08_browser.json,21572,69,35,34,0,10581,4831,15412,1.142515,44,0,0,0,1759,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_09,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_09.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_09_browser.json,21780,71,37,34,0,10613,4831,15444,1.140926,46,0,0,0,1791,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_off_10,camouflaged_off,camouflaged,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_off_10.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_off_10_browser.json,21668,69,35,34,0,10677,4831,15508,1.146063,44,0,0,0,1791,0,-1369,0,80,679,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ4_SWEEP_camouflaged_c2_01,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_01.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_01_browser.json,37951,88,42,46,0,21644,8523,30167,0.790638,60,0,0,0,1832,0,-1377,0,88,687,0,-263,0,-263,0,-582,0,-6,0,6,2084
RQ4_SWEEP_camouflaged_c2_02,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_02.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_02_browser.json,38519,95,46,49,0,21580,8539,30119,0.792022,58,0,0,0,1800,0,-1377,0,88,687,0,-263,0,-263,0,-582,-6,0,0,6,2020
RQ4_SWEEP_camouflaged_c2_03,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_03.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_03_browser.json,38687,97,46,51,0,21572,8539,30111,0.808483,62,0,0,0,1768,0,-1377,0,88,687,0,-263,0,-263,0,-216,0,-374,0,-6,0
RQ4_SWEEP_camouflaged_c2_04,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_04.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_04_browser.json,38743,96,46,50,0,21740,8515,30255,0.813468,62,0,0,0,1736,0,-1377,0,88,687,0,-263,0,-263,0,-582,0,-6,0,6,2020
RQ4_SWEEP_camouflaged_c2_05,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_05.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_05_browser.json,38871,98,47,51,0,21676,8531,30207,0.812052,58,0,0,0,1736,0,-1377,0,88,687,0,-263,0,-263,0,-216,0,-374,-6,0,0
RQ4_SWEEP_camouflaged_c2_06,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_06.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_06_browser.json,39023,96,46,50,0,21988,8547,30535,0.808792,64,0,0,0,1832,0,-1377,0,88,687,0,-263,0,-263,0,-216,0,-374,0,-6,0
RQ4_SWEEP_camouflaged_c2_07,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_07.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_07_browser.json,38831,98,47,51,0,21612,8555,30167,0.810704,60,0,0,0,1768,0,-1377,0,88,687,0,-263,0,-263,0,-582,0,-6,0,6,2052
RQ4_SWEEP_camouflaged_c2_08,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_08.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_08_browser.json,39327,104,50,54,0,21580,8555,30135,0.800589,58,0,0,0,1768,0,-1377,0,88,687,0,-263,0,-263,0,-216,0,-374,0,-6,0
RQ4_SWEEP_camouflaged_c2_09,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_09.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_09_browser.json,38711,97,46,51,0,21604,8531,30135,0.810733,66,0,0,0,1800,0,-1377,0,88,687,0,-263,0,-263,0,-216,0,-374,-6,0,0
RQ4_SWEEP_camouflaged_c2_10,camouflaged_c2,camouflaged,c2,2,none,standard_dns,1,/opt/praxis/pcaps/RQ4_SWEEP_camouflaged_c2_10.pcap,/opt/praxis/logs/RQ4_SWEEP_camouflaged_c2_10_browser.json,38943,99,47,52,0,21636,8555,30191,0.803057,56,0,0,0,1768,0,-1377,0,88,687,0,-263,0,-263,0,-216,-374,0,0,-6,0
