session_id,config_id,browser_profile,mux_mode,parallel,padding_mode,resolver_mode,success,pcap_file,browser_log,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
RQ6_EXPAND_baseline_default_off_01,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_01.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_01_browser.json,21449,69,35,34,0,10458,4831,15289,1.141893,42,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_02,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_02.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_02_browser.json,21609,69,35,34,0,10618,4831,15449,1.144759,44,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,-366,0,0,0,0
RQ6_EXPAND_baseline_default_off_03,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_03.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_03_browser.json,21601,70,36,34,0,10522,4831,15353,1.137904,42,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_04,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_04.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_04_browser.json,21305,67,34,33,0,10490,4831,15321,1.144262,40,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0
RQ6_EXPAND_baseline_default_off_05,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_05.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_05_browser.json,21425,68,35,33,0,10522,4831,15353,1.144574,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_06,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_06.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_06_browser.json,21609,69,35,34,0,10618,4831,15449,1.141505,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_07,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_07.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_07_browser.json,21545,69,35,34,0,10554,4831,15385,1.138998,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_08,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_08.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_08_browser.json,21337,67,34,33,0,10522,4831,15353,1.146053,40,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,1998
RQ6_EXPAND_baseline_default_off_09,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_09.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_09_browser.json,21345,66,34,32,0,10618,4831,15449,1.145391,46,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2094
RQ6_EXPAND_baseline_default_off_10,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_10.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_10_browser.json,21689,71,37,34,0,10522,4831,15353,1.141587,46,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_11,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_11.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_11_browser.json,21513,69,35,34,0,10522,4831,15353,1.142507,42,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_12,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_12.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_12_browser.json,21545,69,35,34,0,10554,4831,15385,1.141587,46,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_13,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_13.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_13_browser.json,21545,69,35,34,0,10554,4831,15385,1.142682,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_14,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_14.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_14_browser.json,21449,69,35,34,0,10458,4831,15289,1.145336,46,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0
RQ6_EXPAND_baseline_default_off_15,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_15.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_15_browser.json,21401,67,34,33,0,10586,4831,15417,1.144305,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,1998
RQ6_EXPAND_baseline_default_off_16,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ6_EXPAND_baseline_default_off_16.pcap,/opt/praxis/logs/RQ6_EXPAND_baseline_default_off_16_browser.json,21153,66,34,32,0,10426,4831,15257,1.142225,42,0,0,0,1727,0,-1369,0,80,655,-255,0,-255,0,-208,0,-366,0,0,0,0
