session_id,config_id,mux_mode,resolution_mode,url,pcap_file,dns_pcap_file,curl_log,success,http_code,remote_ip,started_utc,completed_utc
RQ8C_PILOT_default_c2_p1_standard_dns_lab_01,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_standard_dns_lab_01.pcap,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_standard_dns_lab_01_dns.pcap,/opt/praxis/logs/RQ8C_PILOT_default_c2_p1_standard_dns_lab_01_curl.log,1,200,127.0.0.1,2026-06-17T03:22:01Z,2026-06-17T03:22:10Z
RQ8C_PILOT_default_c2_p1_dns_blocked_01,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_dns_blocked_01.pcap,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_dns_blocked_01_dns.pcap,/opt/praxis/logs/RQ8C_PILOT_default_c2_p1_dns_blocked_01_curl.log,0,000,NA,2026-06-17T03:22:10Z,2026-06-17T03:22:19Z
RQ8C_PILOT_default_c2_p1_decentralized_resolution_01,default_c2_p1,c2,decentralized_resolution,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_decentralized_resolution_01.pcap,/opt/praxis/pcaps/RQ8C_PILOT_default_c2_p1_decentralized_resolution_01_dns.pcap,/opt/praxis/logs/RQ8C_PILOT_default_c2_p1_decentralized_resolution_01_curl.log,1,200,127.0.0.1,2026-06-17T03:22:19Z,2026-06-17T03:22:28Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_01,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_01.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_01_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_01_curl.log,1,200,127.0.0.1,2026-06-17T03:33:59Z,2026-06-17T03:34:07Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_02,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_02.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_02_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_02_curl.log,1,200,127.0.0.1,2026-06-17T03:34:07Z,2026-06-17T03:34:15Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_03,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_03.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_03_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_03_curl.log,1,200,127.0.0.1,2026-06-17T03:34:16Z,2026-06-17T03:34:24Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_04,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_04.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_04_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_04_curl.log,1,200,127.0.0.1,2026-06-17T03:34:24Z,2026-06-17T03:34:32Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_05,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_05.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_05_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_05_curl.log,1,200,127.0.0.1,2026-06-17T03:34:33Z,2026-06-17T03:34:41Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_06,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_06.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_06_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_06_curl.log,1,200,127.0.0.1,2026-06-17T03:34:41Z,2026-06-17T03:34:49Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_07,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_07.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_07_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_07_curl.log,1,200,127.0.0.1,2026-06-17T03:34:50Z,2026-06-17T03:34:58Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_08,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_08.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_08_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_08_curl.log,1,200,127.0.0.1,2026-06-17T03:34:58Z,2026-06-17T03:35:06Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_09,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_09.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_09_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_09_curl.log,1,200,127.0.0.1,2026-06-17T03:35:06Z,2026-06-17T03:35:14Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_10,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_10.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_10_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_10_curl.log,1,200,127.0.0.1,2026-06-17T03:35:15Z,2026-06-17T03:35:23Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_11,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_11.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_11_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_11_curl.log,1,200,127.0.0.1,2026-06-17T03:35:23Z,2026-06-17T03:35:31Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_12,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_12.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_12_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_12_curl.log,1,200,127.0.0.1,2026-06-17T03:35:32Z,2026-06-17T03:35:40Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_13,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_13.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_13_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_13_curl.log,1,200,127.0.0.1,2026-06-17T03:35:40Z,2026-06-17T03:35:48Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_14,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_14.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_14_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_14_curl.log,1,200,127.0.0.1,2026-06-17T03:35:48Z,2026-06-17T03:35:56Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_15,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_15.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_15_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_15_curl.log,1,200,127.0.0.1,2026-06-17T03:35:57Z,2026-06-17T03:36:05Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_16,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_16.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_16_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_16_curl.log,1,200,127.0.0.1,2026-06-17T03:36:05Z,2026-06-17T03:36:13Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_17,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_17.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_17_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_17_curl.log,1,200,127.0.0.1,2026-06-17T03:36:13Z,2026-06-17T03:36:21Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_18,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_18.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_18_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_18_curl.log,1,200,127.0.0.1,2026-06-17T03:36:22Z,2026-06-17T03:36:30Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_19,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_19.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_19_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_19_curl.log,1,200,127.0.0.1,2026-06-17T03:36:30Z,2026-06-17T03:36:38Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_20,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_20.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_20_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_20_curl.log,1,200,127.0.0.1,2026-06-17T03:36:39Z,2026-06-17T03:36:47Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_21,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_21.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_21_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_21_curl.log,1,200,127.0.0.1,2026-06-17T03:36:47Z,2026-06-17T03:36:55Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_22,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_22.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_22_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_22_curl.log,1,200,127.0.0.1,2026-06-17T03:36:56Z,2026-06-17T03:37:04Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_23,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_23.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_23_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_23_curl.log,1,200,127.0.0.1,2026-06-17T03:37:04Z,2026-06-17T03:37:12Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_24,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_24.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_24_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_24_curl.log,1,200,127.0.0.1,2026-06-17T03:37:12Z,2026-06-17T03:37:20Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_25,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_25.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_25_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_25_curl.log,1,200,127.0.0.1,2026-06-17T03:37:21Z,2026-06-17T03:37:29Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_26,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_26.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_26_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_26_curl.log,1,200,127.0.0.1,2026-06-17T03:37:29Z,2026-06-17T03:37:37Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_27,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_27.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_27_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_27_curl.log,1,200,127.0.0.1,2026-06-17T03:37:38Z,2026-06-17T03:37:46Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_28,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_28.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_28_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_28_curl.log,1,200,127.0.0.1,2026-06-17T03:37:46Z,2026-06-17T03:37:54Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_29,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_29.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_29_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_29_curl.log,1,200,127.0.0.1,2026-06-17T03:37:55Z,2026-06-17T03:38:03Z
RQ8C_RQ3_default_c2_p1_standard_dns_lab_30,default_c2_p1,c2,standard_dns_lab,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_30.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_standard_dns_lab_30_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_standard_dns_lab_30_curl.log,1,200,127.0.0.1,2026-06-17T03:38:03Z,2026-06-17T03:38:11Z
RQ8C_RQ3_default_c2_p1_dns_blocked_01,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_01.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_01_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_01_curl.log,0,000,NA,2026-06-17T03:38:11Z,2026-06-17T03:38:20Z
RQ8C_RQ3_default_c2_p1_dns_blocked_02,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_02.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_02_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_02_curl.log,0,000,NA,2026-06-17T03:38:20Z,2026-06-17T03:38:29Z
RQ8C_RQ3_default_c2_p1_dns_blocked_03,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_03.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_03_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_03_curl.log,0,000,NA,2026-06-17T03:38:29Z,2026-06-17T03:38:38Z
RQ8C_RQ3_default_c2_p1_dns_blocked_04,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_04.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_04_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_04_curl.log,0,000,NA,2026-06-17T03:38:39Z,2026-06-17T03:38:47Z
RQ8C_RQ3_default_c2_p1_dns_blocked_05,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_05.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_05_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_05_curl.log,0,000,NA,2026-06-17T03:38:48Z,2026-06-17T03:38:56Z
RQ8C_RQ3_default_c2_p1_dns_blocked_06,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_06.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_06_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_06_curl.log,0,000,NA,2026-06-17T03:38:57Z,2026-06-17T03:39:05Z
RQ8C_RQ3_default_c2_p1_dns_blocked_07,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_07.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_07_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_07_curl.log,0,000,NA,2026-06-17T03:39:06Z,2026-06-17T03:39:14Z
RQ8C_RQ3_default_c2_p1_dns_blocked_08,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_08.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_08_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_08_curl.log,0,000,NA,2026-06-17T03:39:15Z,2026-06-17T03:39:23Z
RQ8C_RQ3_default_c2_p1_dns_blocked_09,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_09.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_09_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_09_curl.log,0,000,NA,2026-06-17T03:39:24Z,2026-06-17T03:39:32Z
RQ8C_RQ3_default_c2_p1_dns_blocked_10,default_c2_p1,c2,dns_blocked,https://praxis-destination.praxis:9443/,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_10.pcap,/opt/praxis/pcaps/RQ8C_RQ3_default_c2_p1_dns_blocked_10_dns.pcap,/opt/praxis/logs/RQ8C_RQ3_default_c2_p1_dns_blocked_10_curl.log,0,000,NA,2026-06-17T03:39:33Z,2026-06-17T03:39:41Z
