candidate,feature,baseline_mean,candidate_mean,delta,pct_delta,bootstrap_95ci_low,bootstrap_95ci_high,cohen_d,abs_cohen_d,mannwhitney_p_two_sided
camouflaged_c2_p1,flow_duration_seconds,1.1430580399999999,0.18833332,-0.9547247199999999,-83.52373078098466,-0.9559953905,-0.9534270005000002,-288.8334891507753,288.8334891507753,7.066071930388932e-18
camouflaged_c2_p1,in_payload_bytes,4831.0,4966.12,135.1199999999999,2.7969364520803124,132.39999999999964,137.84000000000015,18.990474025552118,18.990474025552118,2.345532072692089e-20
camouflaged_c2_p1,out_packets,35.08,26.8,-8.279999999999998,-23.603192702394523,-8.620000000000001,-7.939999999999998,-9.422210726166524,9.422210726166524,2.454910591774221e-18
camouflaged_c2_p1,packet_count,68.82,53.64,-15.179999999999993,-22.057541412380115,-15.82,-14.520000000000003,-9.303530160003717,9.303530160003717,3.677013470313873e-18
camouflaged_c2_p1,in_packets,33.74,26.84,-6.900000000000002,-20.450503852993485,-7.240000000000002,-6.539999999999999,-7.8178269106862,7.8178269106862,1.5225764382698423e-18
camouflaged_c2_p1,pcap_size_bytes,21493.32,20445.48,-1047.8400000000001,-4.875189128529237,-1114.884000000001,-983.9920000000001,-6.2968168779167755,6.2968168779167755,6.947498066611628e-18
camouflaged_c2_p1,total_payload_bytes,15349.16,15685.16,336.0,2.189044872813887,307.03999999999905,363.6800000000003,4.6309377716619196,4.6309377716619196,6.762193667433933e-18
camouflaged_c2_p1,burst_count,43.08,34.08,-9.0,-20.891364902506965,-9.920000000000002,-8.079999999999998,-3.8434645491998216,3.8434645491998216,5.3245896412298255e-18
camouflaged_c2_p1,out_payload_bytes,10518.16,10719.04,200.88000000000102,1.909839743833532,172.39599999999965,228.71999999999935,2.7712532389476494,2.7712532389476494,6.240119129131632e-16
camouflaged_c2_p1,len_18,0.0,-0.84,-0.84,,-1.44,-0.36,-0.5648626093501502,0.5648626093501502,0.006489502857759231
camouflaged_c2_p1,len_16,-29.28,-0.12,29.16,-99.59016393442623,7.08,58.56,0.41113080872811314,0.41113080872811314,0.1625060540073019
camouflaged_c2_p1,len_20,448.52,818.88,370.36,82.57379826986534,3.7960000000000704,736.0459999999998,0.3953882563685085,0.3953882563685085,0.05334413570250599
camouflaged_c2_p1,len_4,1773.08,1786.56,13.480000000000018,0.7602589843661887,-0.6000000000001364,26.920000000000073,0.37373887674681133,0.37373887674681133,0.006216283648094364
camouflaged_c2_p1,len_15,-310.48,-362.4,-51.91999999999996,16.72249420252511,-117.80000000000001,13.960000000000036,-0.2988595249009012,0.2988595249009012,2.2885438484211745e-09
camouflaged_c2_p1,len_19,0.0,-0.36,-0.36,,-1.92,1.2,-0.09076971184547213,0.09076971184547213,0.5645373684261626
camouflaged_c2_p1,len_17,-234.24,-226.68,7.560000000000002,-3.2274590163934436,-65.522,73.80000000000001,0.04202816322272639,0.04202816322272639,1.7036533276370048e-05
camouflaged_c2_p1,unknown_packets,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_6,-1369.0,-1377.0,-8.0,0.5843681519357194,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
camouflaged_c2_p1,len_7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_8,80.0,88.0,8.0,10.0,8.0,8.0,0.0,0.0,2.6280247350541672e-23
camouflaged_c2_p1,len_9,655.0,687.0,32.0,4.885496183206107,32.0,32.0,0.0,0.0,2.6280247350541672e-23
