feature_set,model,n_features,auc,accuracy_050,baseline_mean_probability,default_c2_p1_mean_probability,delta_default_vs_baseline
all_no_pcap_size,logistic,29,1.0,1.0,0.005863755175406604,0.9939547926709551,0.9880910374955485
all_no_pcap_size,random_forest,29,1.0,1.0,0.002465513122565282,0.9966253346393947,0.9941598215168295
no_duration,logistic,28,1.0,1.0,0.006360636607401125,0.9934251920906972,0.9870645554832961
no_duration,random_forest,28,1.0,1.0,0.004208678622925002,0.9954677400481848,0.9912590614252599
no_packet_counts,logistic,25,1.0,1.0,0.007534616917620929,0.9922335629073515,0.9846989459897306
no_packet_counts,random_forest,25,1.0,1.0,0.0036593318523304103,0.9951428489454038,0.9914835170930735
no_duration_no_counts,logistic,24,1.0,1.0,0.008423646630716061,0.9913039586425251,0.982880312011809
no_duration_no_counts,random_forest,24,1.0,1.0,0.010401872139857186,0.9871051555354691,0.9767032833956119
payload_only,logistic,3,1.0,1.0,0.03405175362093322,0.9664620485983798,0.9324102949774465
signed_lengths_only,logistic,20,1.0,1.0,0.011313995744187597,0.9884239073938947,0.9771099116497072
signed_lengths_only,random_forest,20,1.0,1.0,0.005834588741606398,0.9924175668386128,0.9865829780970065
signed_lengths_no_6,logistic,19,1.0,1.0,0.01356524312232482,0.9860987973693379,0.9725335542470132
signed_lengths_no_6,random_forest,19,1.0,1.0,0.005383734861222407,0.9933867701782675,0.988003035317045
payload_only,random_forest,3,1.0,0.99,0.03593359258725963,0.963737872028655,0.9278042794413954
burst_only,logistic,1,0.9934000000000001,0.97,0.10875111889699313,0.8900547320251004,0.7813036131281073
burst_only,random_forest,1,0.9934000000000001,0.97,0.05463873914333578,0.9519649006573028,0.8973261615139669
