model_name,config_id,baseline_mean,candidate_mean,delta,pct_delta,bootstrap_95ci_low,bootstrap_95ci_high,permutation_p_two_sided
logistic,default_c2_p1,0.9953400411378867,0.9958219069795117,0.00048186584162501767,0.048412182943443315,-0.0004845299971199618,0.0015325233221752024,0.35326467353264673
logistic,camouflaged_c2_p1,0.9953400411378867,0.996484398413099,0.0011443572752123377,0.1149714899346451,0.00015901619816700575,0.0021852659447426704,0.026597340265973404
random_forest,default_c2_p1,0.9621996666505405,0.5803441025273977,-0.3818555641231428,-39.685688673370564,-0.40861326375360973,-0.35292979485673415,9.999000099990002e-05
random_forest,camouflaged_c2_p1,0.9621996666505405,0.6062666080476413,-0.35593305860289914,-36.991600697796734,-0.38462988327483355,-0.32659071523230315,9.999000099990002e-05
extra_trees,default_c2_p1,0.9947494283251388,0.8385889753436899,-0.15616045298144887,-15.698471246610964,-0.16069029261627962,-0.15147678718077345,9.999000099990002e-05
extra_trees,camouflaged_c2_p1,0.9947494283251388,0.8405022174666094,-0.15424721085852944,-15.50613717046671,-0.1600834264488803,-0.1485199177885722,9.999000099990002e-05
gradient_boosting,default_c2_p1,0.9999651526750793,0.9996785941019458,-0.00028655857313353295,-0.028656855928123025,-0.00028655857313353295,-0.00028655857313353295,9.999000099990002e-05
gradient_boosting,camouflaged_c2_p1,0.9999651526750793,0.9996785941019458,-0.00028655857313353295,-0.028656855928123025,-0.00028655857313353295,-0.00028655857313353295,9.999000099990002e-05
linear_svc_calibrated,default_c2_p1,0.9566882480240821,0.9470094546317589,-0.009678793392323248,-1.0116977408590064,-0.017403244007710126,-0.001845456862869051,0.0198980101989801
linear_svc_calibrated,camouflaged_c2_p1,0.9566882480240821,0.9567328153541592,4.456733007707214e-05,0.0046585008406991825,-0.00788162021020083,0.007760061916719449,0.992000799920008
