public_baseline,config_id,n,public_baseline_rows,mean_detector_proxy_probability,mean_public_distance_norm,mean_overhead_norm,mean_success,mean_score,std_score,score_delta_vs_baseline,public_distance_delta_vs_baseline,detector_delta_vs_baseline
cicids2017_mapped,default_c2_p1,50,10000,0.48699999999999993,0.4055928938617632,0.21517241379310345,1.0,0.3718661335412723,0.09431741814857521,-0.3011837367032921,-0.11961862745032714,-0.5130000000000001
cicids2017_mapped,camouflaged_c2_p1,50,10000,0.488,0.48781427317090276,0.27560951918406995,1.0,0.40411547156901945,0.10158316022339715,-0.268934398675545,-0.03739724814118761,-0.512
cicids2017_mapped,baseline_default_off,50,10000,1.0,0.5252115213120904,0.7845167557066537,1.0,0.6730498702445644,0.09190814656727993,0.0,0.0,0.0
mawi_day1,default_c2_p1,50,10000,0.48699999999999993,0.5807497715106043,0.21517241379310345,1.0,0.43317104071836665,0.08721756704693133,-0.22070064219171526,0.11033307115417773,-0.5130000000000001
mawi_day1,camouflaged_c2_p1,50,10000,0.488,0.6555718727286771,0.27560951918406995,1.0,0.46283063141424047,0.09410607191221328,-0.19104105149584144,0.1851551723722506,-0.512
mawi_day1,baseline_default_off,50,10000,1.0,0.4704167003564265,0.7845167557066537,1.0,0.6538716829100819,0.08446010750176683,0.0,0.0,0.0
mawi_day1_day2,default_c2_p1,50,20000,0.48699999999999993,0.5786512894105528,0.21517241379310345,1.0,0.43243657198334856,0.08761637635581597,-0.22245109004858882,0.10533179156311107,-0.5130000000000001
mawi_day1_day2,camouflaged_c2_p1,50,20000,0.488,0.6538706554503243,0.27560951918406995,1.0,0.46223520536681695,0.09452403103125435,-0.19265245666512043,0.1805511576028826,-0.512
mawi_day1_day2,baseline_default_off,50,20000,1.0,0.4733194978474417,0.7845167557066537,1.0,0.6548876620319374,0.08486548079309383,0.0,0.0,0.0
mawi_day2,default_c2_p1,50,10000,0.48699999999999993,0.5806866615819106,0.21517241379310345,1.0,0.4331489522433239,0.08759491314987942,-0.220495837604953,0.11091822711635607,-0.5130000000000001
mawi_day2,camouflaged_c2_p1,50,10000,0.488,0.6556094623566223,0.27560951918406995,1.0,0.4628437877840213,0.09470089468910205,-0.1908010020642556,0.18584102789106777,-0.512
mawi_day2,baseline_default_off,50,10000,1.0,0.46976843446555455,0.7845167557066537,1.0,0.6536447898482769,0.08496621486494224,0.0,0.0,0.0
mawi_plus_cicids_balanced,default_c2_p1,50,20000,0.48699999999999993,0.5331001577267254,0.21517241379310345,1.0,0.41649367589400904,0.08900793240165412,-0.25528042466407136,0.011533692661732098,-0.5130000000000001
mawi_plus_cicids_balanced,camouflaged_c2_p1,50,20000,0.488,0.6122084485060221,0.27560951918406995,1.0,0.4476534329363112,0.09363454179910582,-0.2241206676217692,0.0906419834410288,-0.512
mawi_plus_cicids_balanced,baseline_default_off,50,20000,1.0,0.5215664650649933,0.7845167557066537,1.0,0.6717741005580804,0.08470589628433849,0.0,0.0,0.0
