session_id,config_id,browser_profile,mux_mode,parallel,padding_mode,resolver_mode,success,pcap_file,browser_log,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,detector_proxy_probability,public_robust_log_distance,public_robust_log_distance_norm,compliance_score,compliance_penalty,overhead_norm,praxis_score_phase17,public_baseline,public_baseline_rows,public_distance,public_distance_norm,overhead_norm_recalc,praxis_score_rebaseline
RQ7_CONFIRM_baseline_default_off_01,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_01.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_01_browser.json,21665,70,36,34,0,10586,4831,15417,1.141853,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.544491704778494,0.3837232977723774,1,0.0,0.8678970373967946,0.6276980060901718,mawi_day1,10000,14.500914978509257,0.3832164704404436,0.8678970373967946,0.6275206165239949
RQ7_CONFIRM_baseline_default_off_02,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_02.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_02_browser.json,21417,69,35,34,0,10426,4831,15257,1.139745,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.540383430360755,0.381898231104599,1,0.0,0.7474502185526954,0.6210368918142444,mawi_day1,10000,14.496795735745419,0.38139384091558876,0.7474502185526954,0.6208603552480909
RQ7_CONFIRM_baseline_default_off_03,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_03.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_03_browser.json,21521,68,35,33,0,10618,4831,15449,1.139794,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0,1.0,13.71123395133492,0.0135554859749097,1,0.0,0.7979601748421564,0.4946424288333262,mawi_day1,10000,13.665439378411783,0.01354597920324391,0.7979601748421564,0.4946391014632432
RQ7_CONFIRM_baseline_default_off_04,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_04.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_04_browser.json,21337,67,34,33,0,10522,4831,15353,1.145909,40,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,-366,0,0,0,0,1.0,14.51109764677764,0.3688882658436278,1,0.0,0.708596406022341,0.6145407133463868,mawi_day1,10000,14.467836363468004,0.3685802705677967,0.708596406022341,0.6144329149998459
RQ7_CONFIRM_baseline_default_off_05,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_05.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_05_browser.json,21369,67,34,33,0,10554,4831,15385,1.147163,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2062,1.0,15.697704002649182,0.8960282491233397,1,0.0,0.7241379310344828,0.7998167837448931,mawi_day1,10000,15.657721373169862,0.8950652762351637,0.7241379310344828,0.7994797432340315
RQ7_CONFIRM_baseline_default_off_06,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_06.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_06_browser.json,21385,69,35,34,0,10394,4831,15225,1.142792,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.539785793095904,0.3816327357309712,1,0.0,0.7319086935405537,0.6201668921828676,mawi_day1,10000,14.496196794457724,0.3811288290827852,0.7319086935405537,0.6199905248560025
RQ7_CONFIRM_baseline_default_off_07,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_07.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_07_browser.json,21305,67,34,33,0,10490,4831,15321,1.144525,38,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,0,1.0,13.680720185874218,0.0,1,0.0,0.6930548810101991,0.4846527440505099,mawi_day1,10000,13.634824721921724,0.0,0.6930548810101991,0.48465274405050995
RQ7_CONFIRM_baseline_default_off_08,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_08.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_08_browser.json,21209,67,34,33,0,10394,4831,15225,1.144064,42,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2030,1.0,15.679135826867684,0.887779491797407,1,0.0,0.6464303059737737,0.7930443374277811,mawi_day1,10000,15.639106951571543,0.8868290065277732,0.6464303059737737,0.7927116675834093
RQ7_CONFIRM_baseline_default_off_09,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_09.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_09_browser.json,21369,67,34,33,0,10554,4831,15385,1.146044,42,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,-366,0,0,0,0,1.0,14.522000454165932,0.3737317471514154,1,0.0,0.7241379310344828,0.6170130080547196,mawi_day1,10000,14.478771453886907,0.37341868864536504,0.7241379310344828,0.6169034375776019
RQ7_CONFIRM_baseline_default_off_10,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_10.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_10_browser.json,21569,70,36,34,0,10490,4831,15321,1.141708,46,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.555460552426146,0.388596116914943,1,0.0,0.8212724623603691,0.6270722640382486,mawi_day1,10000,14.51191765879373,0.3880847948118699,0.8212724623603691,0.6268933013021729
