source_dataset,public_ground_truth,session_id,client_endpoint,server_endpoint,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000001,160.161.120.153.64074,130.31.254.52.443,79751606,793,0,793,0,0,332680,332680,8.128863,1,-1460,0,-1116,-5840,-2748,0,-116,-2920,-2920,-1460,-1288,-1460,-1460,-1460,-1460,-2810,0,0,0,-2920
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000002,150.129.80.200.49487,45.89.215.30.443,79751606,56748,36003,20745,0,7898,146490351,146498249,8.12305,4780,-13140,-16060,-20440,-10220,-4380,-16060,-21900,-21900,-4380,-10220,-16060,-21900,-11680,-4380,-11680,-18980,-23360,-5840,-2920,-1460
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000003,203.172.142.31.34103,202.123.4.149.443,79751606,11216,5156,6060,0,428914,8087921,8516835,8.148829,4372,0,84,0,-2780,-1390,-1390,-1390,-2780,-1390,-1390,-2780,-2780,0,226,84,-1390,-1390,-1390,0,84
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000004,133.84.194.126.53237,203.172.135.199.443,79751606,2030,589,1441,0,30849,1915284,1946133,8.093802,425,-1310,-1310,-1310,-1310,-1310,-1310,-1310,0,0,-1310,-1310,-1310,-1310,-1310,-1310,-1310,-1310,-2610,-10,-1310
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000005,157.82.87.211.41276,52.41.234.72.443,79751606,1885,1885,0,0,292,0,292,8.141558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000006,120.84.234.206.20969,150.129.7.132.443,79751606,240,240,0,0,0,0,0,8.070303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000007,211.245.66.142.60220,133.20.146.86.443,79751606,402,0,402,0,0,872048,872048,8.14074,1,-5792,-5792,-4344,-1448,-2896,-4344,-2896,-1448,-1448,-1448,-2896,-2896,-1448,-1448,-2896,-1448,-1448,-2896,-1448,-4344
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000008,138.75.149.64.8947,150.129.81.20.65385,79751606,793,793,0,0,1900170,0,1900170,1.220271,1,1460,1460,5840,1460,1460,1460,1460,1460,1460,2920,1460,2920,1460,1460,1460,5840,2920,2920,1460,1460
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000009,150.129.7.132.48101,216.182.198.76.873,79751606,9579,0,9579,0,0,36430144,36430144,8.148388,1,-2896,-1448,-4344,-4336,-4344,-1448,-2896,-4344,-4344,-5792,-2896,-2896,-1448,-2896,-1448,-4344,-8,-4344,-1448,-2896
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000010,202.233.92.232.48198,23.36.229.121.443,79751606,580,0,580,0,0,1504252,1504252,6.994122,1,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-2756,-1929,-635,-1956,-627,-43,-633,-2756
